date,key_rate,russia_inflation_yoy,inflation_target
2020-01-31,6.25,2.4,4
2020-02-29,6.0,2.3,4
2020-03-31,6.0,2.5,4
2020-04-30,5.5,3.1,4
2020-05-31,5.5,3.0,4
2020-06-30,4.5,3.2,4
2020-07-31,4.25,3.4,4
2020-08-31,4.25,3.6,4
2020-09-30,4.25,3.7,4
2020-10-31,4.25,4.0,4
2020-11-30,4.25,4.4,4
2020-12-31,4.25,4.9,4
2021-01-31,4.25,5.2,4
2021-02-28,4.25,5.7,4
2021-03-31,4.5,5.8,4
2021-04-30,5.0,5.5,4
2021-05-31,5.0,6.0,4
2021-06-30,5.5,6.5,4
2021-07-31,6.5,6.5,4
2021-08-31,6.5,6.68,4
2021-09-30,6.75,7.4,4
2021-10-31,7.5,8.13,4
2021-11-30,7.5,8.4,4
2021-12-31,8.5,8.39,4
2022-01-31,8.5,8.73,4
2022-02-28,20.0,9.15,4
2022-03-31,20.0,16.69,4
2022-04-30,17.0,17.83,4
2022-05-31,11.0,17.1,4
2022-06-30,9.5,15.9,4
2022-07-31,8.0,15.1,4
2022-08-31,8.0,14.3,4
2022-09-30,7.5,13.68,4
2022-10-31,7.5,12.63,4
2022-11-30,7.5,11.98,4
2022-12-31,7.5,11.94,4
2023-01-31,7.5,11.77,4
2023-02-28,7.5,10.99,4
2023-03-31,7.5,3.51,4
2023-04-30,7.5,2.31,4
2023-05-31,7.5,2.51,4
2023-06-30,7.5,3.25,4
2023-07-31,8.5,4.3,4
2023-08-31,12.0,5.15,4
2023-09-30,13.0,6.0,4
2023-10-31,15.0,6.69,4
2023-11-30,15.0,7.48,4
2023-12-31,16.0,7.42,4
2024-01-31,16.0,7.44,4
2024-02-29,16.0,7.69,4
2024-03-31,16.0,7.72,4
2024-04-30,16.0,7.84,4
2024-05-31,16.0,8.3,4
2024-06-30,16.0,8.59,4
2024-07-31,18.0,9.13,4
2024-08-31,18.0,9.05,4
2024-09-30,19.0,8.63,4
2024-10-31,21.0,8.54,4
2024-11-30,21.0,8.88,4
2024-12-31,21.0,9.52,4
2025-01-31,21.0,9.92,4
2025-02-28,21.0,10.06,4
2025-03-31,21.0,10.34,4
2025-04-30,21.0,10.23,4
2025-05-31,21.0,9.88,4
2025-06-30,20.0,9.4,4
2025-07-31,18.0,8.79,4
2025-08-31,18.0,8.14,4
2025-09-30,17.0,7.98,4
2025-10-31,16.5,7.71,4
2025-11-30,16.5,6.64,4
2025-12-31,16.0,5.59,4
2026-01-31,16.0,6.0,4
2026-02-28,15.5,5.91,4
2026-03-31,15.0,5.86,4
2026-04-30,14.5,5.58,4
2026-05-31,14.5,5.31,4
2026-06-30,14.25,6.02,4
2026-07-31,14.0,5.98,4
