date,russia_cpi_mom_index
2020-01-31,100.4
2020-02-29,100.33
2020-03-31,100.55
2020-04-30,100.83
2020-05-31,100.27
2020-06-30,100.22
2020-07-31,100.35
2020-08-31,99.96
2020-09-30,99.93
2020-10-31,100.43
2020-11-30,100.71
2020-12-31,104.91
2021-01-31,100.67
2021-02-28,100.78
2021-03-31,100.66
2021-04-30,100.58
2021-05-31,100.74
2021-06-30,100.69
2021-07-31,100.31
2021-08-31,100.17
2021-09-30,100.6
2021-10-31,101.11
2021-11-30,100.96
2021-12-31,108.39
2022-01-31,100.99
2022-02-28,101.17
2022-03-31,107.61
2022-04-30,101.56
2022-05-31,100.12
2022-06-30,99.65
2022-07-31,99.61
2022-08-31,99.48
2022-09-30,100.05
2022-10-31,100.18
2022-11-30,100.37
2022-12-31,111.94
2023-01-31,100.84
2023-02-28,100.46
2023-03-31,100.37
2023-04-30,100.38
2023-05-31,100.31
2023-06-30,100.37
2023-07-31,100.63
2023-08-31,100.28
2023-09-30,100.87
2023-10-31,100.83
2023-11-30,101.11
2023-12-31,107.42
2024-01-31,100.86
2024-02-29,100.68
2024-03-31,100.39
2024-04-30,100.5
2024-05-31,100.74
2024-06-30,100.64
2024-07-31,101.14
2024-08-31,100.2
2024-09-30,100.48
2024-10-31,100.75
2024-11-30,101.43
2024-12-31,109.52
2025-01-31,101.23
2025-02-28,100.81
2025-03-31,100.65
2025-04-30,100.4
2025-05-31,100.43
2025-06-30,100.2
2025-07-31,100.57
2025-08-31,99.6
2025-09-30,100.34
2025-10-31,100.5
2025-11-30,100.42
2025-12-31,105.59
2026-01-31,101.62
2026-02-28,100.73
2026-03-31,100.6
2026-04-30,100.14
2026-05-31,100.17
2026-06-30,100.87
2026-07-31,100.54
