date,year,quarter,cpi_end_to_previous_quarter_end,cpi_quarter_to_previous_quarter,cpi_quarter_to_previous_year
2019-03-31,2019,1,101.77,102.14,105.16
2019-06-30,2019,2,100.67,100.89,104.99
2019-09-30,2019,3,99.8,100.12,104.29
2019-12-31,2019,4,100.77,100.25,103.44
2020-03-31,2020,1,101.28,101.14,102.42
2020-06-30,2020,2,101.32,101.57,103.11
2020-09-30,2020,3,100.24,100.54,103.54
2020-12-31,2020,4,101.98,101.12,104.44
2021-03-31,2021,1,102.13,102.22,105.55
2021-06-30,2021,2,102.02,102.01,106.02
2021-09-30,2021,3,101.08,101.33,106.85
2021-12-31,2021,4,102.92,102.5,108.31
2022-03-31,2022,1,109.95,105.27,111.54
2022-06-30,2022,2,101.33,106.95,116.94
2022-09-30,2022,3,99.14,99.09,114.36
2022-12-31,2022,4,101.33,100.55,112.18
2023-03-31,2023,1,101.67,101.92,108.62
2023-06-30,2023,2,101.06,101.12,102.69
2023-09-30,2023,3,101.79,101.47,105.15
2023-12-31,2023,4,102.69,102.51,107.2
2024-03-31,2024,1,101.95,102.32,107.61
2024-06-30,2024,2,101.89,101.71,108.25
2024-09-30,2024,3,101.83,102.12,108.94
2024-12-31,2024,4,103.54,102.55,108.98
2025-03-31,2025,1,102.71,103.37,110.11
2025-06-30,2025,2,101.03,101.46,109.83
2025-09-30,2025,3,100.51,100.69,108.3
2025-12-31,2025,4,101.25,100.98,106.64
2026-03-31,2026,1,102.97,102.68,105.92
2026-06-30,2026,2,101.18,101.19,105.64
