date,credit_impulse,source,nonfinancial_corporations,financial_corporations,unsecured_household_auto,mortgage
2015-01-01,2.4,cbr_dip,1.88,1.94,-1.43,0.01
2015-02-01,2.94,cbr_dip,2.18,2.49,-1.67,-0.06
2015-03-01,1.74,cbr_dip,1.63,2.18,-1.89,-0.18
2015-04-01,1.35,cbr_dip,2.47,1.26,-2.07,-0.31
2015-05-01,0.11,cbr_dip,1.65,0.95,-2.08,-0.42
2015-06-01,0.13,cbr_dip,1.81,0.93,-2.15,-0.47
2015-07-01,0.29,cbr_dip,2.43,0.59,-2.18,-0.56
2015-08-01,1.05,cbr_dip,2.22,1.63,-2.19,-0.61
2015-09-01,-0.13,cbr_dip,1.71,1.03,-2.13,-0.74
2015-10-01,-0.24,cbr_dip,1.98,0.62,-2.05,-0.78
2015-11-01,-0.93,cbr_dip,1.85,0.08,-2.02,-0.84
2015-12-01,-7.57,cbr_dip,-2.8,-2.0,-2.43,-0.33
2016-01-01,-6.9,cbr_dip,-2.82,-1.63,-2.22,-0.23
2016-02-01,-7.51,cbr_dip,-3.59,-1.95,-1.83,-0.14
2016-03-01,-5.32,cbr_dip,-2.35,-1.53,-1.45,0.0
2016-04-01,-5.55,cbr_dip,-3.32,-1.28,-1.07,0.11
2016-05-01,-4.5,cbr_dip,-4.01,0.1,-0.81,0.22
2016-06-01,-3.88,cbr_dip,-3.42,-0.21,-0.53,0.29
2016-07-01,-3.68,cbr_dip,-4.61,0.87,-0.26,0.33
2016-08-01,-5.09,cbr_dip,-4.21,-1.21,-0.03,0.36
2016-09-01,-2.58,cbr_dip,-3.83,0.77,0.08,0.41
2016-10-01,-2.38,cbr_dip,-4.12,1.03,0.27,0.44
2016-11-01,-2.13,cbr_dip,-4.27,1.18,0.45,0.51
2016-12-01,0.3,cbr_dip,-1.8,0.99,0.97,0.15
2017-01-01,1.4,cbr_dip,-1.74,2.09,0.96,0.09
2017-02-01,1.62,cbr_dip,-0.91,1.57,0.98,-0.03
2017-03-01,0.56,cbr_dip,-2.11,1.7,1.05,-0.07
2017-04-01,1.16,cbr_dip,-0.95,1.09,1.08,-0.06
2017-05-01,1.04,cbr_dip,1.08,-1.01,1.09,-0.12
2017-06-01,0.97,cbr_dip,0.26,-0.32,1.12,-0.09
2017-07-01,1.02,cbr_dip,1.32,-1.33,1.11,-0.08
2017-08-01,2.71,cbr_dip,1.23,0.29,1.21,-0.02
2017-09-01,2.01,cbr_dip,1.48,-0.7,1.21,0.01
2017-10-01,2.7,cbr_dip,1.58,-0.17,1.27,0.02
2017-11-01,3.54,cbr_dip,1.64,0.52,1.32,0.06
2017-12-01,3.5,cbr_dip,0.88,1.17,1.26,0.19
2018-01-01,2.27,cbr_dip,0.53,0.09,1.38,0.27
