date,year,quarter,gdp_nominal_bln_rub
2019-03-31,2019,1,24608.6
2019-06-30,2019,2,26628.6
2019-09-30,2019,3,28346.0
2019-12-31,2019,4,30025.1
2020-03-31,2020,1,24866.0
2020-06-30,2020,2,23775.4
2020-09-30,2020,3,27786.3
2020-12-31,2020,4,31230.5
2021-03-31,2021,1,27854.5
2021-06-30,2021,2,31784.4
2021-09-30,2021,3,35219.5
2021-12-31,2021,4,39869.0
2022-03-31,2022,1,37093.4
2022-06-30,2022,2,37390.8
2022-09-30,2022,3,39181.5
2022-12-31,2022,4,43335.6
2023-03-31,2023,1,36372.7
2023-06-30,2023,2,40206.7
2023-09-30,2023,3,45606.9
2023-12-31,2023,4,52079.4
2024-03-31,2024,1,44332.9
2024-06-30,2024,2,47556.7
2024-09-30,2024,3,51159.9
2024-12-31,2024,4,59271.0
2025-03-31,2025,1,47950.4
2025-06-30,2025,2,49284.8
2025-09-30,2025,3,54671.8
2025-12-31,2025,4,62354.1
2026-03-31,2026,1,49869.5
