date,year,quarter,period_type,gdp_constant_2021_prices_bln_rub
2011-03-31,2011,1.0,quarter,26368.4
2011-06-30,2011,2.0,quarter,28407.6
2011-09-30,2011,3.0,quarter,29883.0
2011-12-31,2011,4.0,quarter,32019.1
2011-12-31,2011,,year,116678.0
2012-03-31,2012,1.0,quarter,27871.3
2012-06-30,2012,2.0,quarter,29785.7
2012-09-30,2012,3.0,quarter,30925.4
2012-12-31,2012,4.0,quarter,32791.0
2012-12-31,2012,,year,121373.3
2013-03-31,2013,1.0,quarter,28186.7
2013-06-30,2013,2.0,quarter,30298.7
2013-09-30,2013,3.0,quarter,31392.5
2013-12-31,2013,4.0,quarter,33626.0
2013-12-31,2013,,year,123503.9
2014-03-31,2014,1.0,quarter,28173.7
2014-06-30,2014,2.0,quarter,30467.3
2014-09-30,2014,3.0,quarter,31833.9
2014-12-31,2014,4.0,quarter,33938.3
2014-12-31,2014,,year,124413.2
2015-03-31,2015,1.0,quarter,27743.7
2015-06-30,2015,2.0,quarter,29526.2
2015-09-30,2015,3.0,quarter,31292.8
2015-12-31,2015,4.0,quarter,33396.2
2015-12-31,2015,,year,121958.9
2016-03-31,2016,1.0,quarter,27686.6
2016-06-30,2016,2.0,quarter,29621.1
2016-09-30,2016,3.0,quarter,31311.3
2016-12-31,2016,4.0,quarter,33576.1
2016-12-31,2016,,year,122195.1
2017-03-31,2017,1.0,quarter,28049.4
2017-06-30,2017,2.0,quarter,30314.8
2017-09-30,2017,3.0,quarter,32137.4
2017-12-31,2017,4.0,quarter,33925.6
2017-12-31,2017,,year,124427.2
2018-03-31,2018,1.0,quarter,28768.4
2018-06-30,2018,2.0,quarter,31142.2
2018-09-30,2018,3.0,quarter,32983.9
2018-12-31,2018,4.0,quarter,35024.5
2018-12-31,2018,,year,127919.1
2019-03-31,2019,1.0,quarter,29168.3
2019-06-30,2019,2.0,quarter,31565.4
2019-09-30,2019,3.0,quarter,33897.1
2019-12-31,2019,4.0,quarter,36100.0
2019-12-31,2019,,year,130730.8
2020-03-31,2020,1.0,quarter,29609.5
2020-06-30,2020,2.0,quarter,29255.2
2020-09-30,2020,3.0,quarter,32767.9
2020-12-31,2020,4.0,quarter,35629.1
2020-12-31,2020,,year,127261.7
2021-03-31,2021,1.0,quarter,29907.7
2021-06-30,2021,2.0,quarter,32596.3
2021-09-30,2021,3.0,quarter,34474.0
2021-12-31,2021,4.0,quarter,37749.5
2021-12-31,2021,,year,134727.5
2022-03-31,2022,1.0,quarter,30913.1
2022-06-30,2022,2.0,quarter,31386.2
2022-09-30,2022,3.0,quarter,33458.1
2022-12-31,2022,4.0,quarter,37036.3
2022-12-31,2022,,year,132793.6
2023-03-31,2023,1.0,quarter,30656.2
2023-06-30,2023,2.0,quarter,33063.6
2023-09-30,2023,3.0,quarter,35514.6
2023-12-31,2023,4.0,quarter,38959.5
2023-12-31,2023,,year,138193.8
2024-03-31,2024,1.0,quarter,32462.1
2024-06-30,2024,2.0,quarter,34682.5
2024-09-30,2024,3.0,quarter,36861.8
2024-12-31,2024,4.0,quarter,40988.9
2024-12-31,2024,,year,144995.3
2025-03-31,2025,1.0,quarter,32887.2
2025-06-30,2025,2.0,quarter,35042.7
2025-09-30,2025,3.0,quarter,37138.3
2025-12-31,2025,4.0,quarter,41378.8
2025-12-31,2025,,year,146446.9
2026-03-31,2026,1.0,quarter,32837.3
