date,loss_making_companies_share,period,source
2024-01-01,32.59,январь,fedstat_57746
2024-02-01,31.48,январь-февраль,fedstat_57746
2024-03-01,30.73,январь-март,fedstat_57746
2024-04-01,29.91,январь-апрель,fedstat_57746
2024-05-01,29.0,январь-май,fedstat_57746
2024-06-01,28.06,январь-июнь,fedstat_57746
2024-07-01,27.95,январь-июль,fedstat_57746
2024-08-01,27.79,январь-август,fedstat_57746
2024-09-01,27.36,январь-сентябрь,fedstat_57746
2024-10-01,27.35,январь-октябрь,fedstat_57746
2024-11-01,27.11,январь-ноябрь,fedstat_57746
2024-12-01,25.55,январь-декабрь,fedstat_57746
2025-01-01,32.9,январь,fedstat_57746
2025-02-01,31.91,январь-февраль,fedstat_57746
2025-03-01,31.62,январь-март,fedstat_57746
2025-04-01,31.44,январь-апрель,fedstat_57746
2025-05-01,31.11,январь-май,fedstat_57746
2025-06-01,30.43,январь-июнь,fedstat_57746
2025-07-01,30.58,январь-июль,fedstat_57746
2025-08-01,30.04,январь-август,fedstat_57746
2025-09-01,29.33,январь-сентябрь,fedstat_57746
2025-10-01,29.21,январь-октябрь,fedstat_57746
2025-11-01,28.79,январь-ноябрь,fedstat_57746
2025-12-01,27.06,январь-декабрь,fedstat_57746
2026-01-01,38.02,январь,fedstat_57746
2026-02-01,36.93,январь-февраль,fedstat_57746
2026-03-01,36.93,январь-март,fedstat_57746
2026-04-01,35.32,январь-апрель,fedstat_57746
2026-05-01,34.44,январь-май,fedstat_57746
