year,period,real_disposable_income_yoy,source,real_income_yoy
2014,q1,95.8,rosstat_current,97.0
2014,q2,100.8,rosstat_current,100.9
2014,q3,101.8,rosstat_current,102.0
2014,q4,96.5,rosstat_current,96.7
2014,year,98.8,rosstat_current,99.2
2015,q1,100.1,rosstat_current,98.6
2015,q2,97.4,rosstat_current,96.1
2015,q3,94.4,rosstat_current,93.9
2015,q4,99.1,rosstat_current,97.6
2015,year,97.6,rosstat_current,96.4
2016,q1,97.4,rosstat_current,97.2
2016,q2,94.8,rosstat_current,94.9
2016,q3,96.2,rosstat_current,95.7
2016,q4,94.4,rosstat_current,94.8
2016,year,95.5,rosstat_current,95.5
2017,q1,100.1,rosstat_current,99.8
2017,q2,99.3,rosstat_current,99.6
2017,q3,99.0,rosstat_current,99.4
2017,q4,99.8,rosstat_current,100.6
2017,year,99.5,rosstat_current,99.8
2018,q1,101.3,rosstat_current,102.3
2018,q2,100.7,rosstat_current,101.5
2018,q3,100.8,rosstat_current,101.6
2018,q4,99.9,rosstat_current,101.2
2018,year,100.7,rosstat_current,101.7
2019,q1,98.0,rosstat_current,99.2
2019,q2,100.8,rosstat_current,101.5
2019,q3,102.6,rosstat_current,103.2
2019,q4,103.0,rosstat_current,103.2
2019,year,101.2,rosstat_current,101.9
2020,q1,102.6,rosstat_current,103.4
2020,q2,93.9,rosstat_current,93.6
2020,q3,96.1,rosstat_current,97.0
2020,q4,99.5,rosstat_current,100.2
2020,year,98.0,rosstat_current,98.6
2021,q1,96.8,rosstat_current,97.0
2021,q2,106.9,rosstat_current,108.5
2021,q3,108.6,rosstat_current,108.1
2021,q4,100.6,rosstat_current,101.4
2021,year,103.3,rosstat_current,103.9
2022,q1,108.9,rosstat_current,109.2
2022,q2,104.0,rosstat_current,102.7
2022,q3,98.3,rosstat_current,98.8
2022,q4,107.4,rosstat_current,106.0
2022,year,104.5,rosstat_current,104.0
2023,q1,107.7,rosstat_current,105.0
2023,q2,104.1,rosstat_current,105.4
2023,q3,105.3,rosstat_current,106.9
2023,q4,107.2,rosstat_current,108.0
2023,year,106.1,rosstat_current,106.5
2024,q1,105.9,rosstat_current,108.0
2024,q2,107.0,rosstat_current,109.5
2024,q3,108.6,rosstat_current,109.8
2024,q4,110.4,rosstat_current,111.6
2024,year,108.2,rosstat_current,109.9
2025,q1,107.1,rosstat_current,108.3
2025,q2,110.1,rosstat_current,109.7
2025,q3,107.7,rosstat_current,108.0
2025,q4,105.8,rosstat_current,106.0
2025,year,107.4,rosstat_current,107.7
2026,q1,101.7,rosstat_current,101.3
2026,q2,101.5,rosstat_current,101.1
