date,year,gdp_per_capita_constant_2015_usd,gdp_per_capita_current_usd
2011-12-31,2011,9120.8,14305.3
2012-12-31,2012,9464.0,15401.9
2013-12-31,2013,9601.5,15941.4
2014-12-31,2014,9493.8,14055.5
2015-12-31,2015,9277.7,9277.7
2016-12-31,2016,9269.3,8663.2
2017-12-31,2017,9419.0,10658.9
2018-12-31,2018,9674.8,11211.9
2019-12-31,2019,9882.0,11447.7
2020-12-31,2020,9632.3,10108.3
2021-12-31,2021,10231.3,12425.0
2022-12-31,2022,10119.1,15625.6
2023-12-31,2023,10560.5,13987.0
2024-12-31,2024,11092.6,14961.9
2025-12-31,2025,11216.2,17546.6
