date,household_debt_service_ratio,source
2019-01-01,9.5,cbr_financial_stability_review
2019-04-01,9.8,cbr_financial_stability_review
2019-07-01,10.0,cbr_financial_stability_review
2019-10-01,10.1,cbr_financial_stability_review
2020-01-01,10.2,cbr_financial_stability_review
2020-04-01,10.4,cbr_financial_stability_review
2020-07-01,10.4,cbr_financial_stability_review
2020-10-01,10.8,cbr_financial_stability_review
2021-01-01,10.8,cbr_financial_stability_review
2021-04-01,11.0,cbr_financial_stability_review
2021-07-01,11.1,cbr_financial_stability_review
2021-10-01,11.5,cbr_financial_stability_review
2022-01-01,11.6,cbr_financial_stability_review
2022-04-01,12.1,cbr_financial_stability_review
2022-07-01,11.7,cbr_financial_stability_review
2022-10-01,11.3,cbr_financial_stability_review
2023-01-01,11.2,cbr_financial_stability_review
2023-04-01,10.59,cbr_financial_stability_review
2023-07-01,10.64,cbr_financial_stability_review
2023-10-01,10.92,cbr_financial_stability_review
2024-01-01,11.17,cbr_financial_stability_review
2024-04-01,11.3,cbr_financial_stability_review
2024-07-01,11.4,cbr_financial_stability_review
2024-10-01,11.4,cbr_financial_stability_review
2025-01-01,10.7,cbr_financial_stability_review
2025-04-01,10.1,cbr_financial_stability_review
2025-07-01,9.7,cbr_financial_stability_review
2025-10-01,9.37,cbr_financial_stability_review
2026-01-01,9.06,cbr_financial_stability_review
