year,period,real_income_yoy,source
2014,q1,102.0,rosstat_current
2014,q4,96.7,rosstat_current
2014,year,99.2,rosstat_current
2015,q1,93.9,rosstat_current
2015,q4,97.6,rosstat_current
2015,year,96.4,rosstat_current
2016,q1,95.7,rosstat_current
2016,q4,94.8,rosstat_current
2016,year,95.5,rosstat_current
2017,q1,99.4,rosstat_current
2017,q4,100.6,rosstat_current
2017,year,99.8,rosstat_current
2018,q1,101.6,rosstat_current
2018,q4,101.2,rosstat_current
2018,year,101.7,rosstat_current
2019,q1,103.2,rosstat_current
2019,q4,103.2,rosstat_current
2019,year,101.9,rosstat_current
2020,q1,97.0,rosstat_current
2020,q4,100.2,rosstat_current
2020,year,98.6,rosstat_current
2021,q1,108.1,rosstat_current
2021,q4,101.4,rosstat_current
2021,year,103.9,rosstat_current
2022,q1,98.8,rosstat_current
2022,q4,106.0,rosstat_current
2022,year,104.0,rosstat_current
2023,q1,106.9,rosstat_current
2023,q4,108.0,rosstat_current
2023,year,106.5,rosstat_current
2024,q1,109.8,rosstat_current
2024,q4,111.6,rosstat_current
2024,year,109.9,rosstat_current
2025,q1,108.0,rosstat_current
2025,q4,106.0,rosstat_current
2025,year,107.7,rosstat_current
2026,q1,101.3,rosstat_current
