year,quarter,unemployment_rate,source
2017,1,5.54,rosstat_current
2017,2,5.19,rosstat_current
2017,3,5.0,rosstat_current
2017,4,5.05,rosstat_current
2018,1,5.06,rosstat_current
2018,2,4.75,rosstat_current
2018,3,4.58,rosstat_current
2018,4,4.78,rosstat_current
2019,1,4.81,rosstat_current
2019,2,4.57,rosstat_current
2019,3,4.4,rosstat_current
2019,4,4.6,rosstat_current
2020,1,4.63,rosstat_current
2020,2,5.99,rosstat_current
2020,3,6.35,rosstat_current
2020,4,6.09,rosstat_current
2021,1,5.62,rosstat_current
2021,2,4.96,rosstat_current
2021,3,4.45,rosstat_current
2021,4,4.31,rosstat_current
2022,1,4.2,rosstat_current
2022,2,4.0,rosstat_current
2022,3,3.9,rosstat_current
2022,4,3.8,rosstat_current
2023,1,3.5,rosstat_current
2023,2,3.2,rosstat_current
2023,3,3.0,rosstat_current
2023,4,2.9,rosstat_current
2024,1,2.8,rosstat_current
2024,2,2.6,rosstat_current
2024,3,2.4,rosstat_current
2024,4,2.3,rosstat_current
2025,1,2.3,rosstat_current
2025,2,2.2,rosstat_current
2025,3,2.1,rosstat_current
2025,4,2.2,rosstat_current
2026,1,2.2,rosstat_current
2026,2,2.2,rosstat_current
