quarter,export_goods,export_services,export_total,import_goods,import_services,import_total,current_account
1Q 2019,102619.97,13689.71,116309.68,55456.74,19725.55,75182.29,33651.05
2Q 2019,101551.11,15660.9,117212.01,61850.84,24363.88,86214.72,10457.46
3Q 2019,103152.09,16662.28,119814.37,65170.47,28244.34,93414.81,10748.64
4Q 2019,112398.24,15964.8,128363.04000000001,71398.69,26137.72,97536.41,10792.97
1Q 2020,89239.26,13926.24,103165.5,56017.88,19631.42,75649.29999999999,23861.64
2Q 2020,70446.68,10277.76,80724.43999999999,53915.11,12210.66,66125.77,1265.41
3Q 2020,78920.5,10789.68,89710.18,60229.8,14394.42,74624.22,3760.41
4Q 2020,94923.1,12966.68,107889.78,69925.81,18511.62,88437.43,6485.23
1Q 2021,93305.7,11488.36,104794.06,62885.98,14517.01,77402.99,24110.72
2Q 2021,114628.09,13014.42,127642.51,75476.49,17084.59,92561.08,17602.12
3Q 2021,132098.48,14091.47,146189.95,77621.08,20977.74,98598.82,35740.06
4Q 2021,154128.87,16961.21,171090.08,85063.36,23296.3,108359.66,47500.14
1Q 2022,154558.54,13929.95,168488.49000000002,69760.69,17411.36,87172.05,70984.71
2Q 2022,151823.91,11113.1,162937.01,56741.45,14608.53,71349.98,77221.28
3Q 2022,141665.92,11395.35,153061.27000000002,68822.06,18171.93,86993.98999999999,48054.65
4Q 2022,144028.16,12363.35,156391.51,81185.68,20682.55,101868.23,41474.13
1Q 2023,104262.06,9747.09,114009.15,74617.74,17490.81,92108.55,14708.02
2Q 2023,103442.31,10261.74,113704.05,77155.01,19286.06,96441.06999999999,7628.82
3Q 2023,109091.07,9433.13,118524.20000000001,75691.19,20025.46,95716.65,15259.25
4Q 2023,107952.79,11029.95,118982.73999999999,75622.45,19809.12,95431.56999999999,11800.43
1Q 2024,101877.79,10731.41,112609.2,67033.23,17346.09,84379.31999999999,24662.92
2Q 2024,106417.29,10000.33,116417.62,71220.94,19250.58,90471.52,16793.09
3Q 2024,109088.55,10918.4,120006.95,78614.98,23443.66,102058.64,7460.22
4Q 2024,116250.41,11402.21,127652.62,84678.96,21265.73,105944.69,14342.22
1Q 2025,97286.96,10270.19,107557.15000000001,66720.57,17839.67,84560.24,18258.69
2Q 2025,98709.29,12072.55,110781.84,75074.54,24678.23,99752.76999999999,2175.04
3Q 2025,107726.22,12281.5,120007.72,76440.02,27391.34,103831.36,8239.58
4Q 2025,115801.62,11639.85,127441.47,88119.25,24989.48,113108.73,10132.02
1Q 2026,100692.52,11251.89,111944.41,73596.74,20085.66,93682.40000000001,12654.4
