date,current_activity,expected_activity_3m,expectations_gap,source
2002-03-01,5.56,24.76,19.2,cbr_business_monitoring
2002-04-01,0.5,24.06,23.56,cbr_business_monitoring
2002-05-01,2.71,24.76,22.04,cbr_business_monitoring
2002-06-01,5.33,24.25,18.92,cbr_business_monitoring
2002-07-01,2.06,24.53,22.46,cbr_business_monitoring
2002-08-01,1.89,24.24,22.34,cbr_business_monitoring
2002-09-01,5.45,24.14,18.69,cbr_business_monitoring
2002-10-01,3.32,24.62,21.3,cbr_business_monitoring
2002-11-01,1.18,24.92,23.74,cbr_business_monitoring
2002-12-01,4.53,25.11,20.58,cbr_business_monitoring
2003-01-01,2.07,24.51,22.44,cbr_business_monitoring
2003-02-01,3.08,24.3,21.22,cbr_business_monitoring
2003-03-01,4.65,23.09,18.44,cbr_business_monitoring
2003-04-01,2.09,22.93,20.84,cbr_business_monitoring
2003-05-01,2.25,22.82,20.57,cbr_business_monitoring
2003-06-01,4.14,22.44,18.3,cbr_business_monitoring
2003-07-01,2.94,23.55,20.61,cbr_business_monitoring
2003-08-01,4.5,24.64,20.14,cbr_business_monitoring
2003-09-01,5.13,24.42,19.29,cbr_business_monitoring
2003-10-01,2.5,23.95,21.45,cbr_business_monitoring
2003-11-01,7.49,23.43,15.93,cbr_business_monitoring
2003-12-01,5.37,23.31,17.93,cbr_business_monitoring
2004-01-01,2.1,24.26,22.16,cbr_business_monitoring
2004-02-01,5.07,24.2,19.13,cbr_business_monitoring
2004-03-01,4.28,23.54,19.26,cbr_business_monitoring
2004-04-01,3.62,23.86,20.24,cbr_business_monitoring
2004-05-01,5.72,22.88,17.17,cbr_business_monitoring
2004-06-01,3.25,24.39,21.14,cbr_business_monitoring
2004-07-01,2.38,23.67,21.29,cbr_business_monitoring
2004-08-01,5.53,23.23,17.7,cbr_business_monitoring
2004-09-01,2.65,24.41,21.76,cbr_business_monitoring
2004-10-01,3.37,23.78,20.41,cbr_business_monitoring
2004-11-01,4.08,24.33,20.25,cbr_business_monitoring
2004-12-01,1.42,23.9,22.49,cbr_business_monitoring
2005-01-01,5.57,23.53,17.97,cbr_business_monitoring
2005-02-01,4.81,23.97,19.16,cbr_business_monitoring
2005-03-01,1.58,23.22,21.64,cbr_business_monitoring
2005-04-01,4.46,23.37,18.91,cbr_business_monitoring
2005-05-01,5.76,23.66,17.91,cbr_business_monitoring
2005-06-01,2.52,22.45,19.93,cbr_business_monitoring
2005-07-01,4.87,23.29,18.42,cbr_business_monitoring
2005-08-01,4.72,22.95,18.24,cbr_business_monitoring
2005-09-01,2.17,22.06,19.89,cbr_business_monitoring
2005-10-01,6.75,21.86,15.11,cbr_business_monitoring
2005-11-01,4.99,21.14,16.15,cbr_business_monitoring
2005-12-01,3.15,21.99,18.84,cbr_business_monitoring
2006-01-01,6.18,21.89,15.71,cbr_business_monitoring
2006-02-01,5.34,21.56,16.22,cbr_business_monitoring
2006-03-01,2.41,24.02,21.61,cbr_business_monitoring
2006-04-01,5.9,23.82,17.93,cbr_business_monitoring
2006-05-01,8.34,24.03,15.69,cbr_business_monitoring
2006-06-01,4.3,24.34,20.04,cbr_business_monitoring
2006-07-01,8.96,23.95,14.99,cbr_business_monitoring
