date,ipp_yoy,ipp_mom,ipp_mom_sa,ipp_level_2023,ipp_level_2023_sa,level_reconstructed,base_year,source_yoy,source_mom,source_mom_sa,source_level,source_level_sa
2020-01-31,101.6,83.0,100.6,87.695,91.95,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-02-29,105.1,100.5,101.8,88.133,93.605,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-03-31,102.8,107.5,98.7,94.743,92.388,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-04-30,95.6,90.8,95.8,86.027,88.508,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-05-31,92.3,94.1,97.2,80.951,86.029,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-06-30,93.4,103.6,100.7,83.865,86.632,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-07-31,94.4,103.2,101.8,86.549,88.191,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-08-31,96.1,103.5,102.5,89.578,90.396,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-09-30,96.5,101.3,99.1,90.743,89.582,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-10-31,94.7,104.4,99.7,94.735,89.313,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-11-30,99.0,101.2,101.7,95.872,90.832,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2020-12-31,103.7,114.2,102.3,109.486,92.921,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-01-31,97.7,78.2,97.7,85.618,90.784,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-02-28,96.3,99.1,100.7,84.848,91.419,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-03-31,101.6,113.4,101.7,96.217,92.973,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-04-30,107.1,95.8,101.9,92.176,94.74,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-05-31,111.7,98.2,100.4,90.517,95.119,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-06-30,110.0,102.0,99.7,92.327,94.833,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-07-31,106.8,100.2,99.8,92.512,94.644,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-08-31,104.5,101.3,99.3,93.715,93.981,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-09-30,106.8,103.6,101.9,97.088,95.767,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-10-31,107.6,105.1,101.0,102.04,96.725,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-11-30,107.6,101.3,100.7,103.366,97.402,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2021-12-31,106.1,112.5,101.2,116.287,98.57,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-01-31,109.1,79.8,99.8,92.797,98.373,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-02-28,106.6,97.2,99.1,90.199,97.488,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-03-31,103.6,110.4,99.1,99.579,96.611,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-04-30,98.3,91.2,97.3,90.816,94.002,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-05-31,98.7,98.1,100.0,89.091,94.002,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-06-30,98.8,102.2,100.3,91.051,94.284,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-07-31,100.6,101.8,101.3,92.69,95.51,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-08-31,100.9,101.6,99.1,94.173,94.65,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-09-30,98.0,100.6,99.7,94.738,94.366,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-10-31,98.5,105.4,100.8,99.854,95.121,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-11-30,99.8,102.1,101.0,101.951,96.072,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2022-12-31,97.8,111.6,100.7,113.777,96.745,True,2023,old_sheet_2,old_sheet_2,old_sheet_2,reconstructed_from_mom,reconstructed_from_mom_sa
2023-01-31,97.9,80.0,99.9,91.022,96.648,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-02-28,98.6,97.9,100.5,89.11,97.131,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-03-31,101.2,113.4,101.4,101.051,98.491,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-04-30,105.0,94.6,101.3,95.594,99.772,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-05-31,107.1,100.0,100.2,95.594,99.971,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-06-30,106.0,101.1,100.7,96.646,100.671,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-07-31,105.8,101.6,100.8,98.192,101.476,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-08-31,106.5,102.2,99.7,100.352,101.172,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-09-30,106.5,100.7,100.6,101.055,101.779,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-10-31,106.1,105.0,99.2,106.107,100.965,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-11-30,105.1,101.1,100.5,107.275,101.469,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2023-12-31,103.6,110.0,99.0,118.002,100.455,True,2023,old_sheet_2,sezon_12-2025,sezon_12-2025,reconstructed_from_mom,reconstructed_from_mom_sa
2024-01-31,105.3,81.2,101.6,95.8,102.5,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
2024-02-29,108.9,101.3,100.4,97.1,102.9,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
2024-03-31,104.5,108.7,100.7,105.5,103.6,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
2024-04-30,105.3,95.3,100.3,100.5,103.9,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
2024-05-31,106.3,101.0,100.6,101.6,104.5,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
2024-06-30,102.8,97.7,99.8,99.2,104.3,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
2024-07-31,104.0,102.8,99.8,102.0,104.0,False,2023,ind_sub_2018_12-2025,sezon_2023_current,sezon_2023_current,sezon_2023_current,sezon_2023_current
