year,period,ipp_yoy_period,source_period
2015,h1,100.2,ind_sub_2018_12-2025
2015,m9,100.3,ind_sub_2018_12-2025
2015,q1_cumulative,101.0,ind_sub_2018_12-2025
2015,year,100.2,ind_sub_2018_12-2025
2016,h1,100.6,ind_sub_2018_12-2025
2016,m9,100.9,ind_sub_2018_12-2025
2016,q1_cumulative,100.7,ind_sub_2018_12-2025
2016,year,101.8,ind_sub_2018_12-2025
2017,h1,104.6,ind_sub_2018_12-2025
2017,m9,104.6,ind_sub_2018_12-2025
2017,q1_cumulative,103.9,ind_sub_2018_12-2025
2017,year,103.7,ind_sub_2018_12-2025
2018,h1,102.9,ind_sub_2018_12-2025
2018,m9,102.9,ind_sub_2018_12-2025
2018,q1_cumulative,102.9,ind_sub_2018_12-2025
2018,year,103.5,ind_sub_2018_12-2025
2019,h1,103.2,ind_sub_2018_12-2025
2019,m9,103.6,ind_sub_2018_12-2025
2019,q1_cumulative,103.2,ind_sub_2018_12-2025
2019,year,103.4,ind_sub_2018_12-2025
2020,h1,98.4,ind_sub_2018_12-2025
2020,m9,97.5,ind_sub_2018_12-2025
2020,q1_cumulative,103.2,ind_sub_2018_12-2025
2020,year,97.9,ind_sub_2018_12-2025
2021,h1,105.0,ind_sub_2018_12-2025
2021,m9,105.7,ind_sub_2018_12-2025
2021,q1_cumulative,99.5,ind_sub_2018_12-2025
2021,year,106.3,ind_sub_2018_12-2025
2022,h1,102.4,ind_sub_2018_12-2025
2022,m9,101.5,ind_sub_2018_12-2025
2022,q1_cumulative,106.3,ind_sub_2018_12-2025
2026,h1,100.4,ind_sub_2023_current
2026,q1_cumulative,100.3,ind_sub_2023_current
