year,quarter,ipp_qoy,ipp_qoq,ipp_qoq_sa,source_qoy,source_qoq,source_qoq_sa
2021,1,89.7,99.5,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2021,2,103.4,110.9,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2021,3,102.6,107.0,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2021,4,113.3,107.9,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2022,1,88.4,106.3,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2022,2,95.9,98.6,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2022,3,103.9,99.8,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2022,4,112.0,98.7,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2023,1,89.1,99.5,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2023,2,102.4,106.2,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2023,3,104.1,106.4,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2023,4,110.6,105.1,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2024,1,90.0,106.2,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2024,2,101.1,104.8,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2024,3,102.7,103.4,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2024,4,113.5,106.1,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2025,1,84.9,100.1,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2025,2,102.5,101.5,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2025,3,102.4,101.2,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2025,4,114.7,102.3,,ind_baza_2018_4kv-2025,ind_baza_2018_4kv-2025,legacy_excel_keep_existing
2026,1,86.2,100.3,,ind_baza_2023_current,ind_baza_2023_current,legacy_excel_keep_existing
2026,2,101.8,100.6,,ind_baza_2023_current,ind_baza_2023_current,legacy_excel_keep_existing
